image_path,coord_x,coord_y
../titpics/Ajovalot.png,838,465
../titpics/Anderssonit.png,971,356
../titpics/Avokadot.png,773,396
../titpics/Bazookat.png,444,614
../titpics/Bon-Bonit.png,480,379
../titpics/Bonnie ja Clyde.png,748,367
../titpics/Burritos.png,597,550
../titpics/Burritot.png,428,662
../titpics/Daisarit.png,482,477
../titpics/Etuessu.png,397,579
../titpics/Etuvalot.png,519,565
../titpics/Hauskat laukut.png,555,417
../titpics/Hinkit.png,1028,357
../titpics/Ismo ja Seppo.png,392,644
../titpics/Iso-Deet.png,347,676
../titpics/Kannut.png,596,577
../titpics/Kellukkeet.png,420,656
../titpics/Ketunnokat.png,488,775
../titpics/Keuhkot.png,363,737
../titpics/Manboobs.png,734,472
../titpics/Meijerit.png,509,492
../titpics/Melonit.png,507,517
../titpics/Michelin-manit.png,398,623
../titpics/Mikkelin Pimut.png,369,716
../titpics/Nuuskapussit.png,810,538
../titpics/Roiskeläpät.png,491,476
../titpics/Sanni ja Alma.png,555,499
../titpics/Swingerit.png,507,529
../titpics/Tissit.png,398,569
../titpics/Tonkat.png,394,658
../titpics/Tuutit.png,495,624
../titpics/Utareet.png,383,733
